,image_link,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,Origin,Size,Appearance,Temperament,Health,Lifespan,Breed group,Coat,Exercise needs,Training needs,Grooming,Breed Group,Training,Health concerns,Activity level,Grooming needs,Exercise Needs,The heartwarming family films “Homeward Bound,Weight,Color,Petey from “The Little Rascals,Energy level,Exercise,Suitability as a pet,"The Berger Picard has made its mark in the world of cinema, featuring in films like “Because of Winn Dixie,” “Homeward Bound II",Active,Energetic,Playful,Intelligent,Easy to train,Good with children,Wary of strangers,Hunting instincts,Country of origin,Original purpose,Height,Exercise requirements,Health problems,Colors,Trainability,Needs,They come in two coat varieties,Hybrid breed,Purpose,Other Dalmatian Names in History,“Bombón,"Published in 1933, Flush",There are five distinct varieties of the German Spitz,"Both parent breeds, the Siberian Husky and Golden Retriever, have made many appearances in movies over the years, including “Iron Will”, “Air Bud“, “Homeward Bound",Health Considerations,History,Digging Instinct,Suitability,Health issues,Popularity,The heartwarming film “Homeward Bound II,English Mastiff,Neapolitan Mastiff,Bullmastiff,Personality,Breed type,Parent breeds,Good with other pets,Orgin,Nicknames,Movie roles,TV mentions,Shiba Inu Lifespan,Pop Culture,Uses,"Currently, the AKC officially acknowledges the Yakutian Laika, whereas the Fédération Cynologique Internationale (FCI) recognizes three distinct Laika breeds"
Pugalier,,,,,,,,,,,,,,,,,,,,,,,,"United States. The Pugalier is a small hybrid breed, a cross between the Pug and the Cavalier King Charles Spaniel. While they may have existed naturally before, they began to intentionally cross these breeds in recent decades.","Small. They are small dogs, typically weighing between 10 and 20 pounds.",,"Affectionate, playful, and intelligent. These dogs are intelligent but may exhibit a touch of stubbornness in training, so patience and positive reinforcement are key. Their charming appearance and affectionate personality make them popular companion animals.","Pugaliers can inherit health issues common to both parent breeds, including brachycephalic respiratory problems and heart conditions.",12-15 years,,"Short and smooth. Pugaliers have a short, smooth coat that can be various shades of brown, white, and black. It does not require frequent grooming.",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10-12 inches. Like their parents, Pugaliers are likely to be on the smaller side.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puggle,,,,,,,,,,,,,,,,,,,,,,,,"Puggles are a hybrid dog breed, which means they are a cross between two purebred dogs: the Beagle and the Pug. They were first bred in the United States in the 1980s.","They are small to medium-sized dogs, typically weighing between 15 and 30 pounds and standing 10 to 15 inches tall at the shoulder.",,"These dogs are known for their friendly and outgoing personalities. They are good with children and other pets, and they make great family companions.","They are generally healthy dogs, but are prone to some health problems, such as eye problems, allergies, and breathing problems. It is important to take your dog to the vet for regular checkups to catch any health problems early.",12 to 15 years.,,,"Puggles are relatively active dogs and require at least 30 minutes of exercise per day. They enjoy playing fetch, going for walks, and running around in the yard.",,"They have short, smooth coats that are easy to groom. They come in a variety of colors, including brown, black, white, and brindle. They also need to have their teeth brushed regularly and their nails trimmed as needed.",,"Puggles are intelligent dogs and are relatively easy to train. However, they can be stubborn at times, so it is important to be patient and consistent with training.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puli,https://api-ninjas.com/images/dogs/puli.jpg,3.0,3.0,1.0,5.0,2.0,1.0,3.0,3.0,5.0,5.0,3.0,3.0,10.0,15.0,17.0,17.0,35.0,35.0,17.0,17.0,25.0,25.0,"The Puli is a Hungarian herding dog that has been around for centuries. People believe that evidence of Puli-like dogs existed in Asia 6,000 years ago. They were originally used to herd sheep and cattle, and they are still used for this purpose today.",This breed is medium-sized. Males are slightly larger than females.,,"These dogs are intelligent, loyal, playful, and affectionate dogs. They can be protective of their family and territory, and they may bark at strangers.","They are generally healthy dogs, but some common health problems include hip dysplasia and eye problems.",They typically live for 12-14 years.,,"The Puli’s coat is one of its most distinctive features. It is dense and corded, and it can be black, gray, white, or fawn. The coat requires regular maintenance by separating the cords to prevent it from matting. The cords, however, form naturally.","Pulik are high-energy dogs that need at least 2 hours of exercise per day. They enjoy playing fetch, hiking, and running.",,,,"They can be challenging to train, but they are intelligent and eager to please. They respond best to positive reinforcement training methods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumi,https://api-ninjas.com/images/dogs/pumi.jpg,3.0,3.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,5.0,5.0,3.0,12.0,13.0,18.5,18.5,29.0,24.0,16.0,16.0,27.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyredoodle,,,,,,,,,,,,,,,,,,,,,,,,,Large,,"Gentle, affectionate, intelligent, loyal, protective",,10-12 years,,"Curly or wavy, low-shedding, hypoallergenic",,,,,Easy to train,,,,,,40-100 pounds,,,Medium to high,,,,,,,,,Yes,,,,,22-28 inches at the shoulder,,,,,,,,,,,,,,,,,,,,,,,,,Mixed breed,Great Pyrenees and Standard Poodle,Yes,,,,,,,,
Pyrenean Mastiff,https://api-ninjas.com/images/dogs/pyrenean_mastiff.jpg,5.0,3.0,3.0,3.0,5.0,1.0,3.0,3.0,5.0,3.0,2.0,1.0,10.0,13.0,31.0,30.0,240.0,240.0,30.0,25.0,120.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrenean Shepherd,https://api-ninjas.com/images/dogs/pyrenean_shepherd.jpg,3.0,3.0,3.0,2.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0,17.0,19.0,18.5,18.0,30.0,30.0,15.5,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafeiro do Alentejo,https://api-ninjas.com/images/dogs/rafeiro_do_alentejo.jpg,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,5.0,5.0,3.0,2.0,12.0,14.0,29.0,29.0,132.0,132.0,25.0,25.0,77.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rat Terrier,https://api-ninjas.com/images/dogs/rat_terrier.jpg,5.0,3.0,3.0,2.0,1.0,1.0,5.0,5.0,4.0,5.0,4.0,3.0,12.0,18.0,13.0,13.0,25.0,25.0,10.0,10.0,10.0,10.0,,"Rat Terriers typically weigh between 10 to 25 pounds, showcasing their small to medium size.","Rat Terriers boast a distinctive appearance, characterized by their compact athletic build, short coat, and expressive features that convey their lively and alert nature.","Rat Terriers possess an energetic and lively temperament, characterized by their feisty and spirited nature.","Rat Terriers are generally robust and healthy dogs, known for their longevity and resilience. However, like all breeds, they may be prone to certain genetic health issues, including patellar luxation and hip dysplasia.","Rat Terriers boast a long lifespan, usually spanning 15-18 years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Rat Terrier is an American breed that originated in the early 20th century. It was developed from various terrier and other breeds to create a versatile and skilled hunting and farm dog,,,,,,,
Redbone Coonhound,https://api-ninjas.com/images/dogs/redbone_coonhound.jpg,5.0,5.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,12.0,15.0,27.0,27.0,70.0,70.0,22.0,22.0,45.0,45.0,United States,Medium to large,,"Affectionate, gentle, and outgoing",,12-15 years,Hound,"Short, smooth, and dense red coat",High,Early and consistent training is recommended,,,,"Hip dysplasia, elbow dysplasia, and cherry eye",,,,,45-70 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhodesian Ridgeback,https://api-ninjas.com/images/dogs/rhodesian_ridgeback.jpg,5.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,5.0,4.0,3.0,2.0,10.0,12.0,27.0,27.0,85.0,70.0,25.0,25.0,85.0,70.0,The Rhodesian Ridgeback is a large breed of dog that was originally bred in Rhodesia (now Zimbabwe) to hunt lions.,"Large, with males standing 25-27 inches tall and weighing 80-100 pounds, and females standing 24-26 inches tall and weighing 60-80 pounds.",,"Gentle, affectionate, dignified, independent, stubborn, protective, barks at strangers.",,10-12 years.,,"Short, smooth, and can be any color, but the most common colors are red, wheaten, and black.",,,,,,"Hip dysplasia, elbow dysplasia, bloat, eye problems.","High. Rhodesian Ridgebacks need plenty of exercise, both physical and mental.",Regular brushing to remove dead hair and prevent mats.,,,,,,,,"Rhodesian Ridgebacks are not recommended for first-time or inexperienced dog owners. They require a firm but gentle hand, plenty of exercise, and mental stimulation. They are also not recommended for homes with small children, as they may accidentally knock them over.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romanian Mioritic Shepherd Dog,https://api-ninjas.com/images/dogs/romanian_mioritic_shepherd_dog.jpg,5.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,5.0,3.0,3.0,1.0,12.0,14.0,29.0,29.0,130.0,130.0,27.0,27.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rottweiler,https://api-ninjas.com/images/dogs/rottweiler.jpg,3.0,3.0,3.0,1.0,3.0,1.0,3.0,4.0,5.0,5.0,3.0,1.0,9.0,10.0,27.0,27.0,135.0,100.0,24.0,24.0,95.0,80.0,Germany,Large,,"Rottweilers possess loyalty, confidence, and a protective nature. They display affection and gentleness towards their family while maintaining wariness around strangers due to their strong guarding instinct.","This breed can be susceptible to certain health issues, such as hip and elbow dysplasia, heart problems, and specific cancers. Providing routine veterinary care and a nutritious diet is vital for their overall health.",8 to 10 years,,"Rottweilers have a short, dense, and double-coated fur. Their coloration is usually black with tan markings.",,,Rottweilers have a short coat that demands minimal grooming. Regular brushing promotes coat health and helps manage loose hair.,Working,"Training Rottweilers is effective with consistent, positive methods. Early socialization and obedience training are crucial for fostering good behavior and manners.",,,,"Rottweilers are active dogs requiring regular exercise for both physical and mental well-being. Daily walks, playtime, and mental stimulation are beneficial.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell Terrier,https://api-ninjas.com/images/dogs/russell_terrier.jpg,3.0,5.0,3.0,2.0,1.0,1.0,5.0,5.0,4.0,3.0,5.0,4.0,12.0,14.0,12.0,12.0,15.0,15.0,10.0,10.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Toy,https://api-ninjas.com/images/dogs/russian_toy.jpg,3.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,12.0,14.0,11.0,11.0,6.6,6.6,8.0,8.0,3.3,3.3,Russia,,,"Playful, affectionate, intelligent, and easy to train","Relatively healthy, but can be prone to some health problems, such as patellar luxation and portosystemic shunt",10-12 years,,,,,"Low-maintenance, but regular brushing is required",,,,High,,,,3-6 pounds,,,,,,,,,,,,,,,,,8-11 inches,,,,,,,,,,,,,,,,,"Families with children, individuals, and active adults",,,,,,,,,,,,,,,,,,
Russian Tsvetnaya Bolonka,,,,,,,,,,,,,,,,,,,,,,,,Russia,"9-11 inches tall at the shoulder, 5-11 pounds",,"Affectionate, playful, and intelligent","Generally healthy, but can be prone to some health problems, such as patellar luxation and hip dysplasia.",12-15 years,,"Long, thick, and curly that comes in a variety of colors, including white, black, brown, gray, and cream.",Moderate,,Requires daily brushing and regular nail trimming,,Easy to train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Bernard,https://api-ninjas.com/images/dogs/saint_bernard.jpg,5.0,3.0,3.0,2.0,5.0,1.0,3.0,3.0,5.0,3.0,3.0,1.0,8.0,10.0,30.0,30.0,180.0,140.0,28.0,28.0,140.0,120.0,Switzerland,Giant,,"Gentle, loving, and patient",,8-10 years,Working,"Short or long, double coat that is typically red and white or brown and white",Moderate,Easy to train,,,,"Hip dysplasia, elbow dysplasia, heart disease, and cancer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saluki,https://api-ninjas.com/images/dogs/saluki.jpg,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,4.0,3.0,10.0,17.0,28.0,28.0,65.0,65.0,23.0,23.0,40.0,40.0,Middle East,"23-28 inches tall at the shoulder, 40-65 pounds",,"Gentle, dignified, and independent, but loyal.","Generally healthy, but can be prone to some health problems, such as hip dysplasia, elbow dysplasia, and eye problems.",12-15 years,Hound,"Short, smooth, and silky.","High, need at least 2 hours of exercise per day.",,,,Intelligent and can be trained to do tricks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoyed,https://api-ninjas.com/images/dogs/samoyed.jpg,5.0,3.0,3.0,3.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,5.0,12.0,14.0,23.5,23.5,65.0,50.0,21.0,21.0,45.0,35.0,"The Samoyed dog breed, or Sammies, are named after the Samoyede people of Siberia, who used them as working dogs. They are thought to have descended from the Spitz family of dogs, which also includes breeds like the Siberian Husky and the Alaskan Malamute.","Sammies are medium-sized dogs, with males being slightly larger than females. They have a well-proportioned body with a thick, double coat that helps to keep them warm in cold weather.",,"They have a friendly and gentle temperament. They are also very devoted to their families and make great companions. Samoyeds are not typically aggressive, but they can be wary of strangers.",,Samoyeds have a lifespan of 12 to 15 years. This is a relatively long lifespan for a dog.,They are classified as Working dogs.,"Sammies have a thick, double coat that is white, cream, biscuit (grayish yellow), or white and biscuit. The undercoat is soft and fluffy, while the outer coat is coarser and straighter. Samoyeds shed heavily twice a year, during the spring and fall.","Samoyeds are active dogs and need at least 30 to 60 minutes of exercise per day. This can be a combination of walking, running, and playing.",,"They require a lot of grooming, especially during the shedding season. Brush your Sammy daily, and bathe them as needed.",,"Sammies are relatively easy to train, but they can be stubborn at times. Positive reinforcement is best.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schapendoes,https://api-ninjas.com/images/dogs/schapendoes.jpg,3.0,5.0,2.0,3.0,2.0,1.0,3.0,4.0,5.0,5.0,4.0,3.0,12.0,15.0,20.0,20.0,55.0,55.0,16.0,16.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schipperke,https://api-ninjas.com/images/dogs/schipperke.jpg,3.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,5.0,4.0,3.0,4.0,12.0,14.0,13.0,13.0,16.0,16.0,11.0,11.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schnoodle,,,,,,,,,,,,,,,,,,,,,,,,Schnoodles were first bred in the United States in the 1980s by crossing Poodles and Schnauzers.,"Schnoodles come in four sizes: Toy, Miniature, Standard, and Giant. A Toy Schnoodle weighs 5-15 pounds, a Miniature Schnoodle weighs 15-30 pounds, a Standard Schnoodle weighs 30-50 pounds, and a Giant Schnoodle weighs around 50-70 pounds.",,"Schnoodles are friendly, intelligent, playful, and loyal dogs. They are good with children and other pets. They can be barkers, so it is important to train them early to stop excessive barking.","Schnoodles are prone to some health conditions, such as allergies, pancreatitis, and luxating patella.",Schnoodles typically live 12-15 years.,,"Schnoodles have curly coats that are low-shedding. The most common coat color is black. Be that as it may, their coats can be a variety of colors, including grey, brown, white, apricot, and parti (a combination of two or more colors).","Schnoodles have moderate exercise needs, requiring at least 30 minutes of exercise per day. They enjoy playing fetch, going for walks, and running around in the yard.",,Schnoodles need to be brushed weekly to prevent mats and tangles. They also need to be groomed professionally every few months.,,Schnoodles are easy to train with positive reinforcement. They are intelligent dogs who love to learn new tricks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Schnoodles are often called “teddy bear dogs” for their soft, curly coats.","In the 1989 classic animated movie “All Dogs Go To Heaven,” the misnamed character of “Killer” is a tan, glasses-wearing Schnoodle voiced by the late Charles Nelson Reilly.","In Season 5, Episode 7 of “Rizzoli & Isles,” Chief Medical Examiner Dr. Maura Isles returns to the dating scene. Detective Jane Rizzoli encourages Maura to avoid discussing the intricacies of medical cases, instead suggesting she opt for small talk about puppies. As to be expected, Dr. Isles goes down a rabbit hole after researching hypoallergenic dog breed crosses. In regards to Doodles, Maura proclaims, “And my favorite: The Schnoodle. It’s a Schnauzer/ Poodle.”",,,,
Scoodle,,,,,,,,,,,,,,,,,,,,,,,,"Scoodles are a relatively new mixed breed, developed in the United States in the 1990s. They are a cross between the Scottish Terrier and the Poodle.","Scoodles are medium-sized dogs, typically weighing between 10 and 20 pounds. They have a square-shaped body with a long, wiry coat that can be straight or curly.",,"Intelligent, playful, affectionate. They are good with children and other pets. They can be stubborn at times, but they are generally easy to train.","Scoodles are generally healthy dogs, but they can be prone to some health problems, such as allergies, eye problems, and hip dysplasia.",,,,,,"Scoodles require regular grooming to keep their coat healthy and free of mats. They should be brushed at least once a week, and their coat may need to be trimmed more often.",,,,,,,,,"Black, brown, white, cream, and gray",,,"Scoodles are active dogs and need at least 30 minutes of exercise per day. They enjoy playing fetch, going for walks, and running around.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scottish Deerhound,https://api-ninjas.com/images/dogs/scottish_deerhound.jpg,3.0,5.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,8.0,11.0,32.0,32.0,110.0,95.0,30.0,30.0,85.0,75.0,Scotland,"Large, typically standing 28-32 inches tall and weighing 85-110 pounds.",,"Gentle, dignified, and loyal","Generally healthy, but can be prone to some health problems, such as hip dysplasia and elbow dysplasia.",9-11 years,Hound,"Harsh, wiry, and weather-resistant",Moderate,,,,Easy to train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scottish Terrier,https://api-ninjas.com/images/dogs/scottish_terrier.jpg,3.0,2.0,2.0,3.0,2.0,1.0,3.0,4.0,5.0,3.0,3.0,4.0,12.0,12.0,10.0,10.0,22.0,21.0,10.0,10.0,19.0,18.0,"The Scottish Terrier, often called the “Scottie,” hails from Scotland and is part of the terrier group, known for their small, sturdy stature and distinctive wiry coat.","Scotties are a small breed, with males typically weighing around 19 to 22 pounds (9 to 10 kg), and females slightly lighter at 18 to 21 pounds (8 to 9.5 kg). They stand about 10 inches (25 cm) tall at the shoulder.","They have a distinctive wiry double coat that comes in various colors, including black, brindle, and wheaten. Their small, compact bodies are well-muscled and feature a strong head with erect ears and a bushy beard.","These Terriers are known for their independent and confident nature. They’re spirited, alert, and often described as feisty. Scotties are loyal to their families and make excellent watchdogs, but they can also be a bit reserved with strangers.","On average, Scottish Terriers have a lifespan of 11 to 13 years. However, like many breeds, they can be prone to certain health issues. Some common concerns include von Willebrand’s disease, patellar luxation (knee joint problems), and skin conditions.",12-15 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sealyham Terrier,https://api-ninjas.com/images/dogs/sealyham_terrier.jpg,3.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,5.0,4.0,3.0,4.0,12.0,14.0,10.5,10.5,24.0,22.0,10.5,10.5,23.0,20.0,Wales,Small,,"Spirited, affectionate, and intelligent",,12-15 years,Terrier,"Dense, wiry coat in a variety of white shades, with or without lemon, brown, or badger markings",Moderate,Moderate,,,,"Generally healthy, but can be prone to certain health conditions, such as hip dysplasia, elbow dysplasia, eye problems, and allergies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segugio Italiano,https://api-ninjas.com/images/dogs/segugio_italiano.jpg,3.0,5.0,3.0,1.0,2.0,1.0,5.0,3.0,3.0,3.0,4.0,4.0,11.0,13.0,23.0,23.0,60.0,60.0,19.0,19.0,40.0,40.0,Italy,"18-28 inches tall at the shoulder, 40-62 pounds","Smooth or wire-haired coat that comes in shades of fawn, red, or black and tan","Calm, reserved, and gentle. Good with children and other pets.","Generally healthy, but can be prone to some health problems, such as hip dysplasia and elbow dysplasia.",12-14 years,,,,,Needs to be brushed 2-3 times a week and bathed as needed.,,"Relatively easy to train, but can be stubborn at times",,,,,,,,,Moderate,Needs at least 30 minutes of exercise per day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shetland Sheepdog,https://api-ninjas.com/images/dogs/shetland_sheepdog.jpg,5.0,5.0,3.0,3.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,5.0,12.0,14.0,16.0,16.0,25.0,25.0,13.0,13.0,15.0,15.0,"Scotland, specifically the Shetland Islands","Small to medium-sized, typically weighing around 14-27 pounds (6-12 kg)",,"Shetland Sheepdogs are intelligent, affectionate, and loyal dogs. They’re known for their herding instincts and can be cautious around strangers but are generally good with families.","Shelties can be prone to certain health issues, including hip dysplasia, eye conditions, and allergies. Regular veterinary care and a balanced diet are important for their overall well-being.",12-14 years,,"Long double coat with a dense undercoat. They come in various colors, including sable, black, and blue merle, often with white markings.",,,"Their long coat requires regular brushing to prevent matting, especially during shedding seasons. Occasional baths and grooming are also needed.",,Shetland Sheepdogs are highly trainable and eager to please. They excel in obedience and agility. Positive reinforcement methods work well with them.,,,,"They have moderate exercise requirements. Regular walks, playtime, and mental stimulation are important to keep them happy and prevent boredom.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiba Inu,https://api-ninjas.com/images/dogs/shiba_inu.jpg,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,5.0,2.0,3.0,3.0,13.0,16.0,16.5,16.5,23.0,17.0,14.5,14.5,23.0,17.0,Japan,"Small, with males standing 14-16 inches tall and weighing 23-27 pounds, and females standing 13-15 inches tall and weighing 17-23 pounds.",,,,,,"Thick, double coat that can be red, sesame, or black and tan.",,,,,,"Hip dysplasia, elbow dysplasia, eye problems.","Moderate. They need daily exercise, but they can also be content with a few short walks per day.",Regular brushing to remove dead hair and prevent mats.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-15 years.,,,
Shih Tzu,https://api-ninjas.com/images/dogs/shih_tzu.jpg,5.0,5.0,1.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,10.0,18.0,10.5,10.5,16.0,16.0,9.0,9.0,9.0,9.0,"Tibet, China.",Small; typically weighing 9 to 16 pounds (4 to 7 kilograms).,,"Friendly, affectionate, and good with families and other pets.","Prone to respiratory issues, dental problems, eye conditions, joint problems, and other genetic health concerns.",10 to 16 years.,,"Long, flowing double coat that requires regular grooming to prevent matting.",,,"High maintenance due to their long coat; regular brushing, bathing, and occasional trimming are necessary.",Toy Group.,"Intelligent but can be stubborn. Consistent, positive reinforcement-based training works best.",,,,Moderate; daily walks and playtime are sufficient to keep them healthy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shikoku,https://api-ninjas.com/images/dogs/shikoku.jpg,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,10.0,12.0,22.0,22.0,55.0,55.0,17.0,17.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiloh Shepherd,,,,,,,,,,,,,,,,,,,,,,,,United States,"Male: 28-30 inches (71-76 cm) tall at the shoulder, 100-140 pounds (45-64 kg); Female: 26-28 inches (66-71 cm) tall at the shoulder, 80-120 pounds (36-54 kg)",,"Gentle, calm, intelligent, and loyal","Some health problems that are common in the breed include hip dysplasia, elbow dysplasia, and eye problems.",9-14 years,"Unknown, as the breed is not yet recognized by major kennel clubs","Long, double coat that is black and tan, black, sable, or white in color",Moderate,,,,Requires early and consistent training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siberian Husky,https://api-ninjas.com/images/dogs/siberian_husky.jpg,5.0,5.0,4.0,2.0,1.0,1.0,5.0,5.0,1.0,3.0,5.0,5.0,12.0,14.0,23.5,23.5,60.0,50.0,21.0,21.0,45.0,35.0,"Siberia, Russia",35-60 pounds (16-27 kg) for females and 45-70 pounds (20-32 kg) for males.,,"Siberian Huskies are known for their friendly and outgoing nature. They are intelligent, independent, and can have a mischievous streak. They usually get along well with people and other dogs.","Siberian Huskies are generally a healthy breed, but they can be prone to certain conditions like hip dysplasia and eye issues. Regular exercise and a well-balanced diet are essential for their overall health.",12-14 years,,"Thick double coat designed for cold weather. Colors vary widely and include combinations of black, white, gray, red, and more.",,,"They have a heavy shedding coat, particularly during shedding seasons. Regular brushing helps manage shedding, and extra attention might be needed during shedding periods.",,"Huskies are intelligent but can be stubborn. Early socialization and consistent, positive reinforcement training are important. Keep in mind their independent nature.",,,,"They have high energy levels and require plenty of exercise. Huskies are known for their endurance and love for activities like running, hiking, and pulling sleds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"What dog breed is Everest in PAW Patrol? A Siberian Husky, of course! The most famous Siberian Husky is Balto, who became a national hero by delivering life-saving diphtheria antitoxins to Nome, Alaska. Balto’s statue stands in Central Park in Manhattan.",,
Silky Terrier,https://api-ninjas.com/images/dogs/silky_terrier.jpg,3.0,3.0,2.0,3.0,1.0,1.0,4.0,4.0,5.0,4.0,3.0,4.0,13.0,15.0,10.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,"Silkys originated in Australia in the 1800s. They were bred from a combination of Yorkshire Terriers and Australian Terriers. It is also called the Australian Silky Terrier outside of the United States, renamed from Sydney Silky Terrier.","They are small dogs, typically standing 9-10 inches tall and weighing 8-10 pounds.",,"Silky Terriers are playful, active, intelligent, loyal, and affectionate dogs. They are good with children and other pets, but they may be aggressive towards other dogs.",,Silkys have a lifespan of 12-15 years.,Silky Terriers are classified as Toy dogs rather than Terrier dogs because of their small size.,"They have a long, straight, silky coat that is blue and tan in color. Their coat requires regular brushing and grooming to prevent matting. They will need to be brushed daily to prevent matting. They should also be groomed professionally every 6-8 weeks.","Silkys need 30-60 minutes of exercise per day. This can be a combination of walking, running, and playing.",,,,They are intelligent dogs and are easy to train with positive reinforcement. They are eager to please their owners and are good at learning tricks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
